AŃO ,MES,"BOCAS FRUIT Co. Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","BOCAS FRUIT Co. Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","BOCAS FRUIT Co. Desembarque de Contenedores, Local, Llenos, en Unidades","BOCAS FRUIT Co. Desembarque de Contenedores, Local, Vacíos, en Unidades","BOCAS FRUIT Co. Embarque de Contenedores, Trasbordo, Llenos, en Unidades","BOCAS FRUIT Co. Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","BOCAS FRUIT Co. Embarque de Contenedores, Local, Llenos, en Unidades","BOCAS FRUIT Co. Embarque de Contenedores, Local, Vacíos, en Unidades","CCT Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","CCT Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","CCT Desembarque de Contenedores, Local, Llenos, en Unidades","CCT Desembarque de Contenedores, Local, Vacíos, en Unidades","CCT Embarque de Contenedores, Trasbordo, Llenos, en Unidades","CCT Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","CCT Embarque de Contenedores, Local, Llenos, en Unidades","CCT Embarque de Contenedores, Local, Vacíos, en Unidades","MIT Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","MIT Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","MIT Desembarque de Contenedores, Local, Llenos, en Unidades","MIT Desembarque de Contenedores, Local, Vacíos, en Unidades","MIT Embarque de Contenedores, Trasbordo, Llenos, en Unidades","MIT Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","MIT Embarque de Contenedores, Local, Llenos, en Unidades","MIT Embarque de Contenedores, Local, Vacíos, en Unidades","PPC-BALBOA Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","PPC-BALBOA Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","PPC-BALBOA Desembarque de Contenedores, Local, Llenos, en Unidades","PPC-BALBOA Desembarque de Contenedores, Local, Vacíos, en Unidades","PPC-BALBOA Embarque de Contenedores, Trasbordo, Llenos, en Unidades","PPC-BALBOA Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","PPC-BALBOA Embarque de Contenedores, Local, Llenos, en Unidades","PPC-BALBOA Embarque de Contenedores, Local, Vacíos, en Unidades","PPC-CRISTOBAL Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","PPC-CRISTOBAL Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","PPC-CRISTOBAL Desembarque de Contenedores, Local, Llenos, en Unidades","PPC-CRISTOBAL Desembarque de Contenedores, Local, Vacíos, en Unidades","PPC-CRISTOBAL Embarque de Contenedores, Trasbordo, Llenos, en Unidades","PPC-CRISTOBAL Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","PPC-CRISTOBAL Embarque de Contenedores, Local, Llenos, en Unidades","PPC-CRISTOBAL Embarque de Contenedores, Local, Vacíos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Desembarque de Contenedores, Trasbordo, Llenos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Desembarque de Contenedores, Trasbordo, Vacíos, en Unidades","PSA PANAMA INTERNATIONAL  TERMINAL Desembarque de Contenedores, Local, Llenos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Desembarque de Contenedores, Local, Vacíos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Embarque de Contenedores, Trasbordo, Llenos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Embarque de Contenedores, Trasbordo, Vacíos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Embarque de Contenedores, Local, Llenos, en Unidades","PSA PANAMA INTERNATIONAL TERMINAL Embarque de Contenedores, Local, Vacíos, en Unidades"
2018,Enero,..,..,341,28,..,..,399,148,9602,4674,3815,73,8642,4189,624,3231,27307,16639,8456,705,33988,9365,2927,6233,32189,20775,3546,464,35940,23743,4499,7368,19870,5098,1019,-65,28293,3799,128,639,1136,0,73,0,1684,546,56,15
2018,Febrero,..,..,97,195,..,..,152,172,8822,4329,3374,216,8254,3679,544,1667,22970,13326,7951,417,28655,6565,2741,4379,36118,6930,3664,2536,30030,19504,4794,1276,25048,7669,555,1,23452,5396,700,621,1038,0,92,0,1171,228,61,60
2018,Marzo,..,..,336,25,..,..,159,151,7778,5154,2665,479,7864,4989,870,4131,25008,13978,9125,956,33454,7555,3967,2996,38140,7797,5475,2592,42202,14960,5102,3852,27252,7669,1109,212,21248,5396,146,410,814,98,59,200,1115,91,54,34
2018,Abril,..,..,419,248,..,..,121,461,9431,4284,3415,387,8082,3913,632,1923,25031,15125,8184,536,30329,6576,3260,3856,46739,10500,2810,1860,35537,22958,6530,2733,6231,4654,1047,2853,44183,-985,220,297,2391,2247,156,0,2125,1949,98,68
2018,Mayo,..,..,539,85,..,..,211,211,8946,4133,3289,677,8455,3605,861,3696,31337,14339,10741,871,37678,10354,3618,6005,37908,9723,2481,1013,29949,12284,3737,2132,25299,4805,951,336,23036,5089,424,753,8297,3120,758,0,7766,3103,130,69
2018,Junio,..,..,245,420,..,..,208,331,10266,6008,3422,241,10271,5955,896,2594,29352,15628,9452,99,36289,9155,3600,4344,22186,12201,2798,1246,27529,17019,3964,2934,25937,6816,437,380,30044,5857,1264,417,10955,3635,1435,1,10711,2900,135,306
2018,Julio,..,..,399,273,..,..,279,262,10997,5442,4491,382,11717,5029,1092,4263,28339,21601,9688,2,38453,12769,3602,4224,21155,11723,3203,1417,34083,17268,3356,3836,25654,5996,778,323,25094,7421,578,324,13362,4439,1718,0,13644,4706,270,1553
2018,Agosto,..,..,248,417,..,..,228,475,11120,5698,4898,208,10209,4220,1004,2989,27881,18685,10213,58,35680,9014,3632,3598,20972,14875,4457,2299,25268,14664,3988,4165,25070,6156,658,-6,26698,6773,1089,1554,14700,5057,1137,0,13206,3015,224,989
2018,Septiembre,..,..,542,264,..,..,282,382,11282,5308,3654,453,10880,4951,1091,2122,28492,21980,9731,79,35710,10235,3168,3421,27420,7225,5126,233,22570,17050,1955,3467,27936,9052,1410,2,29169,9326,667,559,17873,4449,1159,0,16305,6447,147,820
2018,Octubre,..,..,495,450,..,..,524,226,11593,5441,4133,159,10850,6175,927,4104,30619,21345,11383,24,41364,11455,4356,5640,23923,7392,3441,1930,21849,15286,3790,3376,29791,7388,1165,359,25143,16783,259,957,16532,3620,1011,0,16845,5022,144,1193
2018,Noviembre,..,..,280,166,..,..,306,184,12368,6955,3749,546,12616,5723,1077,2471,27238,16209,10414,227,35860,9500,3923,4360,21499,8065,3493,103,23255,13357,3461,3962,19150,7351,396,113,24624,2049,1029,446,18640,5419,1378,0,15428,5342,111,872
2018,Diciembre,..,..,581,267,..,..,334,86,10326,6557,3071,232,10368,6954,925,2603,26290,18401,9358,55,36644,9259,3117,3805,26263,7829,5248,70,21904,15149,1455,3029,20375,6943,1416,7,9589,18182,165,521,22728,7737,1194,0,20334,7208,92,1061
2019,Enero,..,..,181,528,..,..,790,51,9604,6300,4063,449,10958,5462,1082,2913,24878,22795,9865,182,35270,10922,2970,4567,8810,-2708,1133,-2129,34285,24136,3172,6716,4832,174,232,-536,35090,13926,1592,1658,18702,6258,1169,0,15542,6557,84,919
2019,Febrero,..,..,239,997,..,..,1505,158,8229,6581,3147,251,7364,6443,549,2697,26689,15364,7585,86,33405,9550,4119,1757,25432,8735,5948,-525,20830,18776,2174,3764,16669,6197,1094,216,17591,7765,136,1510,14705,4005,980,1,13043,3235,70,511
2019,Marzo,..,..,230,1966,..,..,1195,407,7369,5714,2493,135,6662,3593,666,2033,27861,14878,8248,118,35278,10071,4416,3460,27118,6259,4987,-294,25141,15539,1663,4603,17847,8235,989,44,18421,7266,104,723,16468,4101,857,0,16060,4321,199,858
2019,Abril,..,..,257,1271,..,..,1346,0,8780,5891,2649,44,7675,3060,474,4034,29761,14605,8555,89,36897,9270,4500,2190,28072,8552,5682,297,25083,11309,2150,3065,7345,3117,1355,-166,25722,1793,314,110,16551,4855,1074,0,15579,5608,209,679
2019,Mayo,..,..,274,1475,..,..,1685,111,8061,5702,3820,67,8071,3715,587,5222,28298,14019,8394,368,34671,9718,3764,3805,32559,14097,5507,1020,24074,9618,2065,1484,19362,3061,2735,0,11655,8628,212,2341,16223,5641,1075,10,17577,5641,208,1698
2019,Junio,..,..,172,991,..,..,1129,0,7976,4993,3579,113,6886,4381,542,4630,30549,17474,8260,131,39160,13280,3979,3415,32628,8927,4785,946,18337,12440,4408,5218,17660,3609,-93,-707,18686,3219,808,895,14073,2645,1157,0,13265,5275,269,953
2019,Julio,..,..,161,1008,..,..,1168,14,8873,5861,3805,150,8433,4294,671,5023,41861,19104,8846,112,49365,15784,3903,4615,26420,7160,5339,248,24587,12323,1582,5447,19772,5346,906,-80,19714,6348,188,810,16818,3313,1278,0,16121,4846,246,1088
2019,Agosto,..,..,233,1325,..,..,1463,0,9191,6607,4089,534,8772,5815,599,3975,42859,19228,8384,67,53025,10560,3511,2121,26261,3191,4494,-720,40416,21794,3577,5891,16739,4038,247,-119,23857,7162,638,1335,17711,4848,1007,0,15891,2386,246,915
2019,Septiembre,..,..,163,1356,..,..,1461,22,9002,7946,4222,218,8318,6071,791,5195,41071,17027,8107,138,52042,11318,3913,3980,42625,9896,8710,-288,31678,19191,1810,6322,34572,9531,1844,-19,27750,5624,211,561,18926,7170,956,1,17672,6441,274,459
2019,Octubre,..,..,208,1240,..,..,1496,0,8468,7177,4379,713,8475,5934,727,4811,39746,17797,8802,7,49847,11830,4468,3931,16472,5978,2164,-861,41032,27154,3483,4282,12158,2706,236,-224,30199,11868,699,1310,16380,5574,948,1,15724,7750,202,979
2019,Noviembre,..,..,154,1113,..,..,1538,0,8559,7772,3751,292,8351,4825,899,3043,39752,18367,8180,79,43739,10339,3797,3119,29315,8839,5382,24,23352,17396,1834,6325,17836,2476,1138,234,21237,3337,131,557,20243,6465,918,3,18799,6171,159,855
2019,Diciembre,..,..,182,902,..,..,1117,0,7927,5614,3331,624,7371,5400,664,4184,40243,15143,8675,107,50276,11360,3286,2818,38440,13249,5869,1421,22588,8728,1303,2252,19608,4669,1588,615,18237,5140,959,855,21161,5889,1217,1,19674,8985,163,1057
